,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,127.429718875502,127.62650602409639,-820598.9177108435,-818442.0960936425,-5121.944791044176,-5680.490648156627,-825425.5178611687,-822313.9417488475,-340226.8789458554,-338626.2764499558,-755939.959392522,-755305.7773865584,-1428637.192302273,-1427223.7606214897,-43820.57669239357,-44227.60680629317,-425201.28717153013,-423410.4072373453,-2820872.374517932,-2818246.0477760644,-1878113.7687376062,-1875049.9855023534,-1745520.8874298234,-1742294.6527930081,-1758195.7570475864,-1754713.5491561163,-2335821.0912284497,-2334458.6969284657,-474662.45961044985,-470382.19857173495,-2212557.0567863733,-2210934.968608863,-175009.6478028514,-174056.4423105783,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679434603.637505,1679434604.6360188,0.004016064257028112,0.0
1,130.88755020080322,127.5,-811926.8437321406,-809599.5083358347,-4197.056535248997,-4576.506698758066,-818046.3183326386,-814838.853853375,-336772.7534629558,-335300.54681460885,-756673.3939158153,-755807.7309113549,-1427197.9920223816,-1425966.8397037138,-43907.67201506827,-43659.389897487905,-419268.2099619077,-418013.0819963266,-2812481.424084582,-2809887.3875083625,-1868771.5883830083,-1865136.02087275,-1735469.5201551889,-1732454.3064874113,-1747216.1018976825,-1743914.6947912863,-2333826.7274759156,-2332655.5014610924,-458720.6654862048,-454564.57389556855,-2208084.454408623,-2206452.6485820846,-172375.53295911645,-171588.51054115724,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679434607.2493877,1679434608.2453406,0.008032128514056224,0.0
2,127.26,127.40160642570281,-800665.096123856,-798836.0830148755,-4600.802254767999,-3907.0655413012046,-803146.199839864,-805921.4265827269,-326814.00237254397,-329985.83746075106,-748402.139950048,-751567.3721843333,-1421179.076573764,-1424849.608953514,-41130.212441716,-42384.89452319679,-411425.44811075996,-412420.78159359837,-2800532.30864194,-2799489.6379689877,-1845471.569951948,-1847596.1812296263,-1722156.768340688,-1721580.426220711,-1732528.678718648,-1731845.318902213,-2327764.7587972716,-2329861.4267534297,-440801.367378424,-438231.1348070603,-2198887.048588676,-2200064.954420783,-167272.01977635198,-167827.4517026024,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679434610.8500717,1679434611.8473709,0.012,0.0
3,130.63453815261045,131.33870967741936,-793055.6396743292,-790665.6909782338,-4981.549983248995,-4691.63620833871,-799638.5677320443,-798755.6474782702,-327566.47386897594,-327237.7238903024,-751197.1303488073,-752356.5170189799,-1422769.4942145143,-1423434.853559472,-45765.19138624899,-46347.27080702016,-411151.29945592367,-410178.4891295161,-2793472.115330213,-2791515.337265218,-1848121.7693048995,-1845708.4779949356,-1713861.7796359435,-1711517.731007254,-1723908.7347300923,-1721332.259423496,-2327242.799783538,-2327701.3094050083,-427421.1547115582,-423325.7945914476,-2196405.505274675,-2195448.3743017497,-165994.16485392768,-165438.98540587502,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679434614.465457,1679434615.4610832,0.01606425702811245,0.0
4,127.044,127.14859437751004,-785563.1267503881,-783625.3665167268,-5240.350394292,-5544.529564722892,-794406.0469157641,-792633.8434055542,-326292.77185116,-325848.97228817263,-752886.590109648,-752999.6094918393,-1422880.839691268,-1422567.399974474,-48636.82802163599,-49535.50949361446,-408721.276846056,-408377.66233028914,-2786243.51218268,-2784183.600706124,-1841718.45742684,-1839810.6452991609,-1704970.237370768,-1702420.668143723,-1714373.172804468,-1711657.2944048876,-2326828.0004058,-2326411.297654747,-412994.997620044,-409130.667286996,-2192660.2974725286,-2191547.3735453496,-164486.94449508,-164132.54784246985,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679434618.0650146,1679434619.062165,0.02,0.0
5,127.52988047808765,127.668,-463077.48733403184,-462912.32096103195,-472.5475798645419,-840.166668936,-1618392.5177075178,-1618992.682336896,-13394.139136892432,-13566.5933569,-1435930.6220128087,-1436470.6459606518,-1824424.6068373905,-1825259.5368933242,-2301690.442972597,-2302493.941604356,-2315255.47197098,-2316872.4826422557,-2918649.5476419483,-2919017.770888544,-1597290.7497683188,-1597495.5298299238,-1655892.2128511316,-1656053.783661576,-1721250.0522496535,-1721178.394934948,-1908683.9113005938,-1909191.97597408,-30971.144192605578,-31212.906505255996,-2501238.5336103267,-2501322.038331292,-2505170.1630718326,-2505283.3224872486,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679431815.6178384,1679431816.6212583,0.00398406374501992,0.0
6,131.0,124.0,-461371.8969187992,-460914.837676249,-1323.8674328755021,-1158.2921731084336,-1617253.373519534,-1616977.3063158754,-13783.688493638554,-13381.813823004017,-1434532.3092480644,-1434225.7639596707,-1824392.1319038556,-1824425.6498258314,-2303871.2987286947,-2301606.1761771287,-2320725.530917691,-2319796.269260382,-2918115.3525840403,-2917263.687565928,-1596203.9009418152,-1594887.2614705784,-1654353.8912396266,-1654355.1623267832,-1718976.2788724217,-1718418.4633518516,-1907809.8353825742,-1906694.633064,-31753.963211309238,-31638.957830843374,-2500012.0573747796,-2499657.904486502,-2503671.2587665585,-2503624.5021487796,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679431819.2296844,1679431820.2273872,0.008032128514056224,0.0
7,127.356,127.5140562248996,-461396.443533472,-461329.9553514859,-808.4500799799999,-1160.8192666867471,-1621661.6222454961,-1621504.5180448436,-13646.132665403999,-13819.884316116466,-1438890.657531128,-1438629.3484593413,-1829417.317559416,-1829450.5395722769,-2307569.507786016,-2308274.7992073256,-2326895.328151624,-2328640.7220466705,-2920126.645580124,-2920248.8098958274,-1597746.35073498,-1597658.6041761287,-1656717.836465596,-1656561.588658803,-1720356.604618628,-1719986.1640798836,-1910608.3606014522,-1910505.1476868354,-32125.170961040003,-32213.187610803212,-2501303.415215408,-2501110.145258812,-2505578.5521958643,-2505343.7423182367,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679431822.8320234,1679431823.8312266,0.012,0.0
8,130.26,130.404,-460996.09053087997,-460924.535623132,-1276.639375272,-1508.9809309200002,-1622893.337833092,-1622946.9498332602,-14099.312317304,-14270.274194516,-1439954.7028487683,-1439915.950288292,-1831495.5212468437,-1831747.449367952,-2310226.46358328,-2311014.496685832,-2332882.8562358124,-2334457.993323568,-2920918.517460668,-2921089.136015072,-1598123.0101732,-1598178.3795569402,-1656872.820958236,-1656860.354049236,-1719658.691604008,-1719422.848155848,-1911919.905176152,-1911987.232921992,-32626.836374636,-32846.009355316004,-2501083.639274076,-2500989.854215388,-2505399.1317032403,-2505291.042958616,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679431826.4437668,1679431827.4423437,0.016,0.0
9,126.97991967871486,127.17670682730923,-455588.41158660233,-460494.57317526906,8305.005552277107,-4687.444113891566,-1623403.039671502,-1617396.075673679,-9609.436123578313,-14693.683485738955,-1440078.0129525303,-1434070.7753478393,-1832672.066877783,-1827777.9569188836,-2312024.6592746344,-2309125.550766233,-2337089.3733737348,-2336964.8154501524,-2921637.3218052248,-2917684.3161579836,-1598442.369442,-1593198.4002841085,-1656911.3293665461,-1652821.4125520925,-1718852.1281275942,-1714522.253756558,-1912710.6842577911,-1907357.1236889476,-28427.44195245783,-32175.858581759036,-2500823.2134915586,-2498059.1030564853,-2505154.3460233933,-2501900.4210761283,0.0,0.0,0.0,0.0,0.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679431830.0545814,1679431831.0530822,0.020080321285140562,0.0
